number,time(m),time (m),time (m),time (m),time (m),time (m),time (m),
0,0,0,1,4,7,8,8
1,5,5,3,0,6,6,7
2,3,3,5,6,5,10,10
3,7,7,2,9,9,9,10
4,3,3,3,6,7,8,8
5,4,4,3,5,5,7,7
6,1,1,8,7,6,8,7
7,1,1,0,9,6,8,8
8,3,3,6,8,5,5,7
9,1,1,10,6,8,6,8
10,6,6,1,6,5,5,8
11,2,2,1,2,6,10,10
12,2,2,7,6,9,5,9
13,2,2,2,9,8,5,10
14,6,6,4,4,9,7,10
15,7,7,6,4,10,8,7
16,4,4,6,1,8,7,9
17,2,2,6,8,9,5,9
18,0,0,0,3,5,6,7
19,1,1,1,1,6,9,7
20,0,0,9,3,6,9,9
21,0,0,0,4,5,10,8
22,9,9,8,2,10,7,10
23,4,4,0,3,10,5,10
24,2,2,5,0,10,9,7
25,5,5,1,0,8,5,7
26,10,10,6,7,6,8,10
27,5,5,0,7,6,6,10
28,4,4,4,8,5,6,7

